2025-06-03 12:51:27,801 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,802 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,802 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,803 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,803 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,803 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,804 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,601 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,601 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,602 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,602 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,602 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,605 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,608 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,608 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,608 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,608 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,609 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,609 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,609 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,609 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,610 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,610 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,610 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,610 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,611 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,611 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,611 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,611 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:35,617 - INFO - Successfully processed resources\Year 4\Machine Learning Foundations.pdf, found 0 content items
2025-06-03 12:51:35,617 - INFO - Processing file: resources\Year 4\Neural Networks.pdf
2025-06-03 12:51:35,638 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,229 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,231 - INFO - Successfully processed resources\Year 4\Neural Networks.pdf, found 0 content items
2025-06-03 12:51:37,232 - INFO - Processing file: resources\Year 4\Overfitting.pdf
2025-06-03 12:51:37,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,247 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,248 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,249 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,250 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,251 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,252 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,253 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,255 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,256 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,258 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,260 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,261 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,262 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,263 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,264 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,265 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,266 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,266 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,267 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,269 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,270 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,271 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:37,272 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,152 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,153 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,154 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,154 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,154 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,154 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,154 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,156 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,156 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,156 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,157 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,157 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,157 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,157 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,158 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,158 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,158 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,158 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,159 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,159 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,159 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,159 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,159 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,160 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,163 - INFO - Successfully processed resources\Year 4\Overfitting.pdf, found 0 content items
2025-06-03 12:51:40,163 - INFO - Processing file: resources\Year 4\Perceptron Algorithm.pdf
2025-06-03 12:51:40,166 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:40,168 - WARNING - CropBox missing from /Page, defaulting to MediaBox
